         362248 function calls (355583 primitive calls) in 127.908 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       33    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
       41    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
      230    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       46    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(prod)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vstack)
    490/5    0.003    0.000    1.798    0.360 <frozen importlib._bootstrap>:1002(_find_and_load)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1018(_gcd_import)
 1025/767    0.002    0.000    0.953    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1166    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      490    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
      490    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:156(__enter__)
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:160(__exit__)
     1166    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      487    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      676    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    646/5    0.000    0.000    1.791    0.358 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     4131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      386    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      486    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      836    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:385(cached)
      692    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      469    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  469/466    0.001    0.000    1.328    0.003 <frozen importlib._bootstrap>:558(module_from_spec)
      487    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
    469/5    0.002    0.000    1.794    0.359 <frozen importlib._bootstrap>:659(_load_unlocked)
      485    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      467    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
     1166    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
     1431    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
     1431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
      485    0.003    0.000    0.133    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    490/5    0.002    0.000    1.798    0.360 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
